Group,NO,5sp_m,5sp_Pre,5sp_Post,10sp_m,10sp_Pre,10sp_Post,20sp_m,20sp_Pre,20sp_Post,30sp_m,30sp_Pre,30sp_Post,20dr_m,20dr_Pre,20dr_Post,30dr_m,30dr_Pre,30dr_Post,arrowL_m,arrowL_Pre,arrowL_Post,arrowR_m,arrowR_Pre,arrowR_Post,arrowdrL_m,arrowdrL_Pre,arrowdrL_Post,arrowdrR_m,arrowdrR_Pre,arrowdrR_Post,semo_m,semo_Pre,semo_Post,22dr_m,22dr_Pre,22dr_Post,rat_m,rat_Pre,rat_Post
1,1,-0.109,1.517,1.408,-0.183,2.397,2.214,-0.117,3.603,3.486,-0.293,5.187,4.894,-0.396,4.184,3.788,-0.161,5.579,5.418,-0.078,9.179,9.101,-0.177,9.171,8.994,-0.852,10.789,9.937,-0.593,10.522,9.929,-0.158,11.977,11.819,-1.809,13.642,11.833,0.027,2.154,2.181
1,2,-0.102,1.386,1.284,-0.344,2.303,1.959,-0.068,3.557,3.489,-0.326,5.26,4.934,-0.418,4.485,4.067,-0.568,6.047,5.479,-0.118,9.656,9.538,-0.236,9.375,9.139,-0.224,11.274,11.05,-0.246,11.338,11.092,-0.098,12.149,12.051,-2.223,16.218,13.995,-0.31,2.43,2.12
1,3,-0.051,1.363,1.312,-0.163,2.259,2.096,-0.06,3.537,3.477,-0.153,5.222,5.069,-0.082,4.209,4.127,-0.751,6.179,5.428,0.139,9.12,9.259,-0.128,9.303,9.175,-0.078,10.604,10.526,-0.062,10.709,10.647,-0.889,12.026,11.137,-2.495,15.299,12.804,-0.133,2.281,2.148
1,4,-0.053,1.44,1.387,-0.107,2.23,2.123,-0.484,3.875,3.391,-0.238,4.986,4.748,-0.326,4.079,3.753,-0.18,5.455,5.275,-0.499,9.236,8.737,-0.009,8.993,8.984,-0.05,10.771,10.721,-0.311,11,10.689,-0.716,12.444,11.728,-0.944,14.832,13.888,-0.053,2.225,2.172
1,5,-0.207,1.588,1.381,-0.017,2.227,2.21,-0.214,3.913,3.699,-0.135,5.407,5.272,-0.032,4.073,4.041,-0.192,5.774,5.582,-0.066,9.543,9.477,-0.389,9.665,9.276,-0.115,10.805,10.69,-0.029,10.608,10.579,-0.845,12.436,11.591,-1.645,14.279,12.634,-0.111,2.29,2.179
1,6,-0.026,1.346,1.32,-0.164,2.335,2.171,-0.048,3.743,3.695,-0.017,5.125,5.108,-0.083,4.138,4.055,-0.153,5.712,5.559,-0.174,9.319,9.145,-0.181,9.208,9.027,-0.126,10.731,10.605,-0.364,10.588,10.224,-0.704,11.899,11.195,-1.162,14.046,12.884,-0.154,2.289,2.135
1,7,-0.201,1.579,1.378,-0.067,2.355,2.288,-0.006,3.732,3.726,-0.474,5.479,5.005,-0.214,4.194,3.98,-0.001,5.502,5.501,-0.091,9.545,9.454,-0.285,9.51,9.225,-0.237,11.068,10.831,-0.106,11.705,11.599,-1.122,12.04,10.918,-3.01,15.727,12.717,-0.124,2.379,2.255
1,8,-0.045,1.464,1.419,-0.229,2.288,2.059,-0.289,3.805,3.516,-0.212,5.101,4.889,-0.177,4.255,4.078,-0.032,5.684,5.652,-0.026,9.278,9.252,-0.135,8.953,8.818,-0.402,11.439,11.037,-0.332,11.399,11.067,-0.277,11.989,11.712,-2.535,15.866,13.331,-0.224,2.306,2.082
1,9,-0.179,1.453,1.274,-0.18,2.367,2.187,-0.207,3.901,3.694,-0.469,5.501,5.032,-0.178,4.107,3.929,-0.15,5.68,5.53,-0.12,9.835,9.715,-0.423,9.718,9.295,-0.22,11.181,10.961,-0.23,11.13,10.9,-0.983,12.562,11.579,-0.629,14.514,13.885,-0.142,2.189,2.047
2,10,-0.127,1.453,1.326,-0.126,2.336,2.21,-0.004,3.804,3.8,-0.154,5.354,5.2,0.215,3.926,4.141,0.326,5.583,5.909,0.421,9.373,9.794,0.485,9.215,9.7,1.04,11.41,12.45,0.534,11.216,11.75,0.533,12.137,12.67,0.233,14.353,14.586,-0.096,2.409,2.313
2,11,-0.129,1.428,1.299,-0.112,2.326,2.214,0.304,3.237,3.541,-0.085,5.035,4.95,-0.131,4.134,4.003,-0.043,5.456,5.413,0.521,8.325,8.846,0.296,8.596,8.892,0.421,10.67,11.091,0.436,10.102,10.538,1.283,10.648,11.931,-0.396,13.862,13.466,0.273,2.211,2.484
2,12,0.018,1.34,1.358,-0.155,2.278,2.123,0.141,3.736,3.877,0.178,5.294,5.472,0.198,4.269,4.467,-0.244,6.151,5.907,0.679,9.109,9.788,0.407,9.179,9.586,-0.039,11.281,11.242,0.578,10.473,11.051,1.1,11.366,12.466,-1.064,14.759,13.695,0.031,2.251,2.282
2,13,-0.035,1.361,1.326,0.048,2.261,2.309,-0.034,3.52,3.486,0.366,5.348,5.714,-0.297,4.221,3.924,0.204,5.504,5.708,-0.163,9.02,8.857,-0.242,9.231,8.989,-0.07,11.302,11.232,0.65,10.502,11.152,0.113,11.439,11.552,-0.022,14.043,14.021,-0.182,2.261,2.079
2,14,0.205,1.264,1.469,-0.2,2.444,2.244,0.034,3.898,3.932,0.177,5.255,5.432,0.278,4.261,4.539,-0.291,6.256,5.965,0.4,9.226,9.626,0.392,9.134,9.526,0.754,11.258,12.012,0.494,11.067,11.561,1.15,12.063,13.213,0.505,14.019,14.524,-0.155,2.366,2.211
2,15,-0.154,1.558,1.404,-0.035,2.258,2.223,-0.159,3.756,3.597,-0.178,5.152,4.974,-0.22,4.183,3.963,0.204,5.419,5.623,-0.06,9.087,9.027,-0.103,8.968,8.865,0.949,10.006,10.955,0.493,10.126,10.619,0.383,11.022,11.405,-1.047,14.163,13.116,-0.332,2.286,1.954
2,16,-0.137,1.473,1.336,-0.159,2.347,2.188,0.12,3.693,3.813,-0.202,5.13,4.928,0.199,4.232,4.431,0.367,5.249,5.616,-0.007,9.157,9.15,-0.226,9.247,9.021,0.841,10.691,11.532,-0.353,10.781,10.428,0.169,11.729,11.898,-0.073,13.989,13.916,0.071,2.216,2.287
2,17,-0.001,1.347,1.346,-0.004,2.246,2.242,0.138,3.432,3.57,-0.121,5.012,4.891,-0.22,4.223,4.003,0.275,5.368,5.643,0.179,9.024,9.203,0.19,9.031,9.221,0.598,11.205,11.803,0.644,11.235,11.879,-0.022,11.625,11.603,0.196,13.126,13.322,0.226,2.172,2.398
2,18,0.027,1.512,1.539,0.054,2.128,2.182,0.159,3.834,3.993,0.301,5.248,5.549,0.008,4.078,4.086,0.201,5.312,5.513,0.208,9.218,9.426,0.053,9.256,9.309,0.708,11.504,12.212,0.334,11.065,11.399,0.672,11.259,11.931,0.354,13.577,13.931,-0.435,2.45,2.015
2,19,-0.013,1.429,1.416,-0.251,2.467,2.216,0,3.806,3.806,-0.005,5.387,5.382,0.038,4.564,4.602,-0.155,6.198,6.043,0.463,9.361,9.824,0.318,9.364,9.682,-0.277,12.172,11.895,1.563,10.295,11.858,0.261,12.042,12.303,1.3,13.673,14.973,0.012,2.246,2.258
